,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,(854.8243693890864-8582.573989850267j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-854.8243693890864+8582.573989850267j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1,(-0-0j),(854.8243693890864-8582.573989850267j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-854.8243693890864+8582.573989850267j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2,(-0-0j),(-0-0j),(854.8243693890864-8582.573989850267j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-854.8243693890864+8582.573989850267j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3,0j,0j,0j,(7.67817038974149-6.713170245107449j),(-1.962178572367119+0.9159817395151149j),(-1.9621785723671188+0.9159817395151149j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-7.67817038974149+6.713170245107449j),(1.962178572367119-0.9159817395151149j),(1.9621785723671188-0.9159817395151149j),0j,0j,0j
4,0j,0j,0j,(-1.9621785723671155+0.9159817395151137j),(7.678170389741491-6.713170245107446j),(-1.9621785723671137+0.9159817395151123j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.9621785723671155-0.9159817395151137j),(-7.678170389741491+6.713170245107446j),(1.9621785723671137-0.9159817395151123j),0j,0j,0j
5,0j,0j,0j,(-1.9621785723671152+0.9159817395151132j),(-1.9621785723671152+0.9159817395151157j),(7.678170389741493-6.713170245107447j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.9621785723671152-0.9159817395151132j),(1.9621785723671152-0.9159817395151157j),(-7.678170389741493+6.713170245107447j),0j,0j,0j
6,0j,0j,0j,0j,0j,0j,(12.431240750268847-17.786000117717887j),(-3.639496806829955+4.502426502536808j),(-3.8442237794439555+4.070485682488141j),(-5.564620744892293+7.133816409135355j),(1.4951551166507788-1.5059086390968162j),(2.139479290580997-1.6901165642306095j),0j,0j,0j,(-4.576376270723279+4.050983313866629j),(1.1726267551583074-0.5559357108871891j),(1.1726267551583072-0.5559357108871891j),0j,0j,0j,(-1.1451216859393618+3.300599674542964j),(0.4858573905506236-1.2202908829823258j),(0.266058824708608-0.9122165591900686j),0j,0j,0j,(-1.145122048713913+3.30060072017294j),(0.4858575444702453-1.2202912695704773j),(0.2660589089960435-0.9122168481802744j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7,0j,0j,0j,0j,0j,0j,(-3.6394968068299565+4.502426502536811j),(11.521597182163426-17.347274867523918j),(-2.5189760168808326+3.3232453230599734j),(1.4951551166507806-1.5059086390968164j),(-4.908539808464811+7.0634202421825885j),(1.0880236577327616-1.3823962660939164j),0j,0j,0j,(1.1726267551583058-0.5559357108871882j),(-4.607635335788055+4.028565285676661j),(1.1783427376641133-0.5474487232523808j),0j,0j,0j,(0.48585739055062405-1.2202908829823276j),(-1.0027108601258805+3.127644174413499j),(0.1263047907353004-0.6967000564995502j),0j,0j,0j,(0.4858575444702459-1.220291269570479j),(-1.002711177784679+3.127645165251168j),(0.12630483074865714-0.6967002772141261j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8,0j,0j,0j,0j,0j,0j,(-3.8442237794439533+4.07048568248814j),(-2.518976016880834+3.3232453230599743j),(11.570273944451317-17.01536297795337j),(2.1394792905809967-1.6901165642306097j),(1.0880236577327616-1.382396266093915j),(-5.189202023554301+7.0856111294359j),0j,0j,0j,(1.1726267551583063-0.5559357108871888j),(1.1783427376641136-0.5474487232523808j),(-4.607635335788054+4.02856528567666j),0j,0j,0j,(0.2660588247086076-0.9122165591900686j),(0.12630479073530093-0.6967000564995515j),(-0.8867181520983265+2.9505928140465043j),0j,0j,0j,(0.2660589089960426-0.9122168481802734j),(0.12630483074865817-0.6967002772141273j),(-0.886718433010635+2.950593748794303j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9,0j,0j,0j,0j,0j,0j,(-5.564620744892293+7.133816409135355j),(1.4951551166507788-1.5059086390968162j),(2.139479290580997-1.6901165642306095j),(7.394656435246528-10.461154027961236j),(-1.4951551166507788+1.5059086390968162j),(-2.139479290580997+1.6901165642306095j),(-1.8300356903542343+3.327337618825881j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10,0j,0j,0j,0j,0j,0j,(1.4951551166507806-1.5059086390968164j),(-4.908539808464811+7.0634202421825885j),(1.0880236577327616-1.3823962660939164j),(-1.4951551166507806+1.5059086390968164j),(6.738575498819046-10.39075786100847j),(-1.0880236577327616+1.3823962660939164j),(-0-0j),(-1.8300356903542343+3.327337618825881j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11,0j,0j,0j,0j,0j,0j,(2.1394792905809967-1.6901165642306097j),(1.0880236577327616-1.382396266093915j),(-5.189202023554301+7.0856111294359j),(-2.1394792905809967+1.6901165642306097j),(-1.0880236577327616+1.382396266093915j),(7.0192377139085345-10.412948748261782j),(-0-0j),(-0-0j),(-1.8300356903542343+3.327337618825881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.8300356903542343+3.327337618825881j),(-0-0j),(-0-0j),(1.8300356903542343-3.327337618825881j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-1.8300356903542343+3.327337618825881j),(-0-0j),(-0-0j),(1.8300356903542343-3.327337618825881j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
14,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-1.8300356903542343+3.327337618825881j),(-0-0j),(-0-0j),(1.8300356903542343-3.327337618825881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15,0j,0j,0j,0j,0j,0j,(-4.576376270723279+4.050983313866629j),(1.1726267551583074-0.5559357108871891j),(1.1726267551583072-0.5559357108871891j),0j,0j,0j,0j,0j,0j,(12.20367005526208-10.802622170311015j),(-3.1270046804221554+1.4824952290325046j),(-3.127004680422152+1.4824952290325055j),(-7.6272937845388+6.751638856444386j),(1.9543779252638478-0.9265595181453157j),(1.954377925263845-0.9265595181453166j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
16,0j,0j,0j,0j,0j,0j,(1.1726267551583058-0.5559357108871882j),(-4.607635335788055+4.028565285676661j),(1.1783427376641133-0.5474487232523808j),0j,0j,0j,0j,0j,0j,(-3.1270046804221505+1.4824952290325024j),(12.287027562101486-10.742840761804427j),(-3.142247300437634+1.4598632620063485j),(1.9543779252638447-0.9265595181453141j),(-7.679392226313429+6.714275476127765j),(1.9639045627735208-0.9124145387539677j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17,0j,0j,0j,0j,0j,0j,(1.1726267551583063-0.5559357108871888j),(1.1783427376641136-0.5474487232523808j),(-4.607635335788054+4.02856528567666j),0j,0j,0j,0j,0j,0j,(-3.12700468042215+1.4824952290325037j),(-3.142247300437635+1.4598632620063468j),(12.287027562101478-10.742840761804429j),(1.9543779252638436-0.926559518145315j),(1.9639045627735214-0.9124145387539659j),(-7.679392226313425+6.714275476127769j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
18,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-7.6272937845388+6.751638856444386j),(1.9543779252638478-0.9265595181453157j),(1.954377925263845-0.9265595181453166j),(7.6272937845388-6.751638856444386j),(-1.9543779252638478+0.9265595181453157j),(-1.954377925263845+0.9265595181453166j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
19,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.9543779252638447-0.9265595181453141j),(-7.679392226313429+6.714275476127765j),(1.9639045627735208-0.9124145387539677j),(-1.9543779252638447+0.9265595181453141j),(7.679392226313429-6.714275476127765j),(-1.9639045627735208+0.9124145387539677j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.9543779252638436-0.926559518145315j),(1.9639045627735214-0.9124145387539659j),(-7.679392226313425+6.714275476127769j),(-1.9543779252638436+0.926559518145315j),(-1.9639045627735214+0.9124145387539659j),(7.679392226313425-6.714275476127769j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
21,(-854.8243693890864+8582.573989850267j),(-0-0j),(-0-0j),0j,0j,0j,(-1.1451216859393618+3.300599674542964j),(0.4858573905506236-1.2202908829823258j),(0.266058824708608-0.9122165591900686j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(855.9694910750258-8585.87458952481j),(-0.4858573905506236+1.2202908829823258j),(-0.266058824708608+0.9122165591900686j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22,(-0-0j),(-854.8243693890864+8582.573989850267j),(-0-0j),0j,0j,0j,(0.48585739055062405-1.2202908829823276j),(-1.0027108601258805+3.127644174413499j),(0.1263047907353004-0.6967000564995502j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.48585739055062405+1.2202908829823276j),(855.8270802492123-8585.701634024681j),(-0.1263047907353004+0.6967000564995502j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
23,(-0-0j),(-0-0j),(-854.8243693890864+8582.573989850267j),0j,0j,0j,(0.2660588247086076-0.9122165591900686j),(0.12630479073530093-0.6967000564995515j),(-0.8867181520983265+2.9505928140465043j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.2660588247086076+0.9122165591900686j),(-0.12630479073530093+0.6967000564995515j),(855.7110875411847-8585.524582664313j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
24,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.618132961733471-0.7949814629520167j),(-1.1794707535429405-0.5229396652372238j),(-1.179470753542941-0.5229396652372236j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.618132961733471+0.7949814629520167j),(1.1794707535429405+0.5229396652372238j),(1.179470753542941+0.5229396652372236j),0j,0j,0j
