,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,(2958.6497213799553-29705.31848775056j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2958.6497213799553+29705.31848775056j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1,(-0-0j),(2958.6497213799553-29705.31848775056j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-2958.6497213799553+29705.31848775056j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2,(-0-0j),(-0-0j),(2958.6497213799553-29705.31848775056j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-2958.6497213799553+29705.31848775056j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3,0j,0j,0j,(26.575069099342073-23.235087798746285j),(-6.791335500391274+3.170322718270554j),(-6.791335500391274+3.1703227182705493j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-26.575069099342073+23.235087798746285j),(6.791335500391274-3.170322718270554j),(6.791335500391274-3.1703227182705493j),0j,0j,0j
4,0j,0j,0j,(-6.79133550039127+3.1703227182705533j),(26.575069099342063-23.23508779874629j),(-6.791335500391277+3.170322718270552j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(6.79133550039127-3.1703227182705533j),(-26.575069099342063+23.23508779874629j),(6.791335500391277-3.170322718270552j),0j,0j,0j
5,0j,0j,0j,(-6.791335500391273+3.17032271827055j),(-6.79133550039127+3.1703227182705485j),(26.575069099342077-23.235087798746285j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(6.791335500391273-3.17032271827055j),(6.79133550039127-3.1703227182705485j),(-26.575069099342077+23.235087798746285j),0j,0j,0j
6,0j,0j,0j,0j,0j,0j,(43.02601598557051-61.55948072743574j),(-12.596735188055298+15.583438416460194j),(-13.305319807509063+14.088439405373357j),(-19.259820152561613+24.69099464998656j),(5.174911277342353-5.212130508950772j),(7.404994562215705-5.849696242789854j),0j,0j,0j,(-15.83938743812576+14.020939367290078j),(4.058601914813521-1.9241602076658673j),(4.058601914813521-1.9241602076658686j),0j,0j,0j,(-3.9634035696384444+11.423771545554143j),(1.6816107315825717-4.223573180907788j),(0.920861519375454-3.15729097734393j),0j,0j,0j,(-3.963404825244695+11.423775164604958j),(1.6816112643168517-4.2235745189357665j),(0.9208618111043821-3.1572919775737054j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7,0j,0j,0j,0j,0j,0j,(-12.596735188055304+15.5834384164602j),(39.877630439129476-60.04099998948437j),(-8.71847827154659+11.502150852549333j),(5.174911277342357-5.212130508950773j),(-16.98904530187374+24.447345068623008j),(3.7657804422520176-4.784639364502975j),0j,0j,0j,(4.058601914813518-1.9241602076658648j),(-15.94757881340275+13.943347881561198j),(4.078385616184014-1.8947857250232767j),0j,0j,0j,(1.6816107315825748-4.223573180907791j),(-3.470502612198881+10.825151804946042j),(0.437156037309763-2.4113624995517213j),0j,0j,0j,(1.6816112643168533-4.223574518935772j),(-3.4705037116541075+10.825155234354122j),(0.43715617580079685-2.4113632634713604j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8,0j,0j,0j,0j,0j,0j,(-13.305319807509061+14.088439405373352j),(-8.71847827154659+11.502150852549335j),(40.046106554619335-58.89221311025395j),(7.4049945622157045-5.849696242789849j),(3.765780442252017-4.784639364502972j),(-17.960450907764265+24.52415039231319j),0j,0j,0j,(4.058601914813517-1.9241602076658664j),(4.078385616184013-1.8947857250232767j),(-15.94757881340275+13.943347881561198j),0j,0j,0j,(0.9208615193754562-3.1572909773439273j),(0.43715603730976327-2.411362499551725j),(-3.0690379305905555+10.212355800552631j),0j,0j,0j,(0.920861811104384-3.1572919775737076j),(0.4371561758007956-2.411363263471362j),(-3.0690389028617706+10.212359035826939j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9,0j,0j,0j,0j,0j,0j,(-19.259820152561613+24.69099464998656j),(5.174911277342353-5.212130508950772j),(7.404994562215705-5.849696242789854j),(25.593793281160462-36.207309429257194j),(-5.174911277342353+5.212130508950772j),(-7.404994562215705+5.849696242789854j),(-6.333973128598849+11.516314779270633j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
