,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,(2958.6497213799553-29705.31848775056j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2958.6497213799553+29705.31848775056j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1,(-0-0j),(2958.6497213799553-29705.31848775056j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-2958.6497213799553+29705.31848775056j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2,(-0-0j),(-0-0j),(2958.6497213799553-29705.31848775056j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-2958.6497213799553+29705.31848775056j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
4,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
5,0j,0j,0j,(-0-0j),(-0-0j),(22.601112500805453-22.912277381007637j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-22.601112500805453+22.912277381007637j),0j,0j,0j
6,0j,0j,0j,0j,0j,0j,(27.18662854744475-47.53854136014566j),(-8.538133273241776+13.659278208794326j),(-9.246717892695541+12.16427919770749j),(-19.259820152561613+24.69099464998656j),(5.174911277342353-5.212130508950772j),(7.404994562215705-5.849696242789854j),0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,(-3.9634035696384444+11.423771545554143j),(1.6816107315825717-4.223573180907788j),(0.920861519375454-3.15729097734393j),0j,0j,0j,(-3.963404825244695+11.423775164604958j),(1.6816112643168517-4.2235745189357665j),(0.9208618111043821-3.1572919775737054j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7,0j,0j,0j,0j,0j,0j,(-8.538133273241785+13.659278208794335j),(38.830310423100656-59.96031019048184j),(-9.640163839809047+11.682671460119776j),(5.174911277342357-5.212130508950773j),(-16.98904530187374+24.447345068623008j),(3.7657804422520176-4.784639364502975j),0j,0j,0j,(-0-0j),(-14.900258797373924+13.862658082558667j),(5.000071184446472-2.075306332593719j),0j,0j,0j,(1.6816107315825748-4.223573180907791j),(-3.470502612198881+10.825151804946042j),(0.437156037309763-2.4113624995517213j),0j,0j,0j,(1.6816112643168533-4.223574518935772j),(-3.4705037116541075+10.825155234354122j),(0.43715617580079685-2.4113632634713604j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8,0j,0j,0j,0j,0j,0j,(-9.246717892695544+12.164279197707485j),(-9.640163839809045+11.682671460119778j),(39.102349525420955-58.748228801008224j),(7.4049945622157045-5.849696242789849j),(3.765780442252017-4.784639364502972j),(-17.960450907764265+24.52415039231319j),0j,0j,0j,(-0-0j),(5.000071184446468-2.075306332593718j),(-15.00382178420437+13.799363572315473j),0j,0j,0j,(0.9208615193754562-3.1572909773439273j),(0.43715603730976327-2.411362499551725j),(-3.0690379305905555+10.212355800552631j),0j,0j,0j,(0.920861811104384-3.1572919775737076j),(0.4371561758007956-2.411363263471362j),(-3.0690389028617706+10.212359035826939j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9,0j,0j,0j,0j,0j,0j,(-19.259820152561613+24.69099464998656j),(5.174911277342353-5.212130508950772j),(7.404994562215705-5.849696242789854j),(25.593793281160462-36.207309429257194j),(-5.174911277342353+5.212130508950772j),(-7.404994562215705+5.849696242789854j),(-6.333973128598849+11.516314779270633j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10,0j,0j,0j,0j,0j,0j,(5.174911277342357-5.212130508950773j),(-16.98904530187374+24.447345068623008j),(3.7657804422520176-4.784639364502975j),(-5.174911277342357+5.212130508950773j),(23.32301843047259-35.96365984789364j),(-3.7657804422520176+4.784639364502975j),(-0-0j),(-6.333973128598849+11.516314779270633j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
